Temperaturmålinger
Tid(minutt)  ;   Grader(Celsius)
 0.00  ;  100.000
 1.00  ;  95.000
 2.00  ;  90.250
 3.00  ;  85.737
 4.00  ;  81.451
 5.00  ;  77.378
 6.00  ;  73.509
 7.00  ;  69.834
 8.00  ;  66.342
 9.00  ;  63.025
 10.00  ;  59.874
 11.00  ;  56.880
 12.00  ;  54.036
 13.00  ;  51.334
 14.00  ;  48.767
 15.00  ;  46.329
 16.00  ;  44.013
 17.00  ;  41.812
 18.00  ;  39.721
 19.00  ;  37.735
 20.00  ;  35.849
 21.00  ;  34.056
 22.00  ;  32.353
 23.00  ;  30.736
 24.00  ;  29.199
 25.00  ;  27.739
 26.00  ;  26.352
 27.00  ;  25.034
 28.00  ;  23.783
 29.00  ;  22.594
 30.00  ;  21.464
 31.00  ;  20.391
 32.00  ;  19.371
 33.00  ;  18.403
 34.00  ;  17.482
 35.00  ;  16.608
 36.00  ;  15.778
 37.00  ;  14.989
 38.00  ;  14.240
 39.00  ;  13.528
 40.00  ;  12.851
 41.00  ;  12.209
 42.00  ;  11.598
 43.00  ;  11.018
 44.00  ;  10.467
 45.00  ;  9.944
 46.00  ;  9.447
 47.00  ;  8.974
 48.00  ;  8.526
 49.00  ;  8.099
 50.00  ;  7.694
